"It looks like Aussies tend to feel, well, pretty Australian. More than one-third of people said they felt 10/10 Australian. The sense of feeling Australian is strongest among older Australians, and is higher in rural and regional Australia than in our big cities. People who were born in Australia also tend to feel more Australian than people who've migrated here.","Xem như có vẻ người Úc có xu hướng cảm thấy khá đậm chất Úc. Hơn một phần ba mọi người nói là họ cảm thấy mình là người Úc 10/10. Sự cảm nhận mình mang chất Úc là mạnh mẽ nhất trong số những người Úc lớn tuổi hơn, và là cao hơn ở miền quê và xa xôi của Úc, so với các thành phố lớn của chúng ta. Những người được sinh ra ở Úc cũng có xu hướng cảm thấy mình là người Úc nhiều hơn so với những người di cư đến đây."
"In general, how Australian would you say you feel?","Về tổng quát, quý vị có thể nói là mình cảm thấy mình mang chất Úc ở mức độ nào?"
[Health] is rated in the [top three] of Australians' most pressing personal problems.,[Sức khỏe] được xếp trong [ba vấn đề hàng đầu] trong số các vấn đề cá nhân cấp thiết nhất của người Úc.
"Generally, the older someone is, the more often they feel healthy. About half of people under 50 feel healthy frequently or always, compared to 71% of people 65 and older.","Nói chung, người ta càng lớn tuổi thì càng cảm thấy khỏe mạnh ở mức độ thường xuyên hơn. Khoảng một nửa những người dưới 50 tuổi cảm thấy khỏe mạnh ở mức độ thường xuyên hoặc luôn luôn, so với 71% ở những người 65 tuổi hoặc lớn tuổi hơn nữa."
How often Australians feel healthy.,"Người Úc cảm thấy khỏe mạnh thường xuyên ở mức độ nào."""
"You're not sure how Australian other Aussies would say you are, and [x%] of people are in the same boat.","Quý vị không biết chắc chắn những người Úc khác liệu sẽ nói quý vị, và [x%] những người ở cùng hoàn cảnh như quý vị, mang chất Úc ở mức độ nào."
"Older people are the most confident that others would see them as strongly Australian. New immigrants, people who speak a language other than English at home, and Australians with non-European ancestry tend to expect others might see them as somewhat less Australian.","Những người lớn tuổi hơn là những người tự tin nhất rằng người khác có thể thấy họ là người đậm chất Úc. Các di dân mới, những người nói ngôn ngữ không phải tiếng Anh ở nhà, và những người Úc có tổ tiên không phải là người Châu Âu, có xu hướng lường biết rằng người khác có thể thấy họ phần nào ít chất Úc hơn."
"How Australian do you think most other Australians would say you are, on a scale of 0 to 10?","Theo quý vị, hầu hết những người Úc khác có thể nói quý vị mang chất Úc ở mức độ nào, trên thang đo từ 0 đến 10?"
"Australians might be [worried about the world], but they're much more [upbeat about their own future]","Người Úc có thể [lo lắng về thế giới], nhưng họ [lạc quan hơn rất nhiều về tương lai của chính mình]"
"Overall, 71 % of Australians are optimistic about their personal prospects, a far greater number than those who were optimistic about the future of Australia or the world.","Về tổng thể, 71% người Úc lạc quan về các triển vọng cá nhân của mình, một con số lớn hơn rất nhiều so với những người lạc quan về tương lai của nước Úc hay thế giới."
How optimistic or pessimistic would you say you are about your own future?,Liệu quý vị nói là mình lạc quan hay bi quan ở mức nào về tương lai của chính mình?
Australians are [pretty pessimistic] about the [future of the world],Người Úc [có chút bi quan] về [tương lai của thế giới]
We don't think things look too rosy on a global scale — 70% are pessimistic.,Chúng tôi không cho là mọi thứ trông toàn màu hồng trên thang đo toàn cầu - 70% là bi quan.
"Overall, how optimistic or pessimistic would you say you are about the future of the world?","Về tổng thể, liệu quý vị nói là mình lạc quan hay bi quan ở mức độ nào về tương lai của thế giới?"
[More than two-thirds] of Australians say they [frequently or always] feel [loved].,[Hơn hai phần ba] người Úc nói là họ [thường xuyên hoặc luôn luôn] cảm thấy [được yêu thương].
"Happiness tends to take a slight hit around age 25, but slowly tends to climb back up in older age groups. Loneliness and anxiety follow a similar trend, declining overall among older Australians.","Hạnh phúc có xu thế giảm chút ít quanh tuổi 25, nhưng có chiều hướng dần dần tăng trở lại ở các nhóm lớn tuổi hơn. Sự cô đơn và lo âu cũng theo một xu thế tương tự, giảm đi về tổng thể trong số những người Úc lớn tuổi hơn."
"How lonely, happy and anxious Australians of different ages report feeling.","Người Úc thuộc các độ tuổi khác nhau khai báo cảm thấy cô đơn, hạnh phúc và lo âu ở mức độ nào."
Almost [1 in 3] Australians say they don't often feel loved — [it's not uncommon to feel that way],Gần [một phần ba] người Úc nói rằng họ không thường xuyên cảm thấy được yêu thương – [việc cảm thấy như vậy không phải là chuyện hiếm gặp]
Women are more likely than men to feel overwhelmed or sad. But they’re also more likely than men to feel loved.,"Phụ nữ có nhiều khả năng cảm thấy choáng ngợp hay buồn bã hơn, so với nam giới. Nhưng họ cũng có nhiều khả năng cảm thấy được yêu thương hơn, so với nam giới."
"How loved, overwhelmed and sad Australian men and women report feeling.","Nam giới và phụ nữ Úc khai báo cảm thấy được yêu thương, choáng ngợp và buồn ở mức độ nào."
Australians are [more optimistic] about the future of the country than we are about the [future of the planet].,"Về tổng thể, người Úc [lạc quan hơn] về tương lai của đất nước, so với chúng ta lạc quan về [tương lai của hành tinh này]."
"But still, almost half of Australians feel pessimistic.",Nhưng gần một nửa người Úc vẫn cảm thấy bi quan.
"Overall, how optimistic or pessimistic would you say you are about the future of the country?","Về tổng thể, liệu quý vị nói là mình lạc quan hay bi quan ở mức độ nào về tương lai của đất nước?"
"More [nature] time, [travel] and [money] are top of the list of things most Aussies think would make them happier","Dành nhiều thời gian với [thiên nhiên], [đi du lịch] nhiều hơn và có nhiều [tiền] hơn là ba thứ đứng đầu trong danh sách những thứ mà hầu hết người Úc cho là có thể làm cho họ hạnh phúc hơn"
"You didn't think any of these would make you happier, but plenty of Australians do.","Quý vị không cho là bất kỳ thứ nào trong số này có thể làm cho mình hạnh phúc hơn, nhưng nhiều người Úc lại cho là như vậy."
